ra,ano,fase,fase_ideal,defasagem,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,genero,idade,ano_ingresso,instituicao_ensino,indicado_bolsa,atingiu_pv,num_avaliacoes,defasagem_cat,risco_defasagem
RA-96,2022,5,6,-1,Ametista,7.54,9.2,7.8,6.9,,6.7,8.5,5.0,5.7,6.5,8.0,Masculino,16.0,2021,Escola Pública,Sim,Sim,4.0,Moderada,1
RA-97,2022,5,5,0,Ametista,7.468,7.5,8.8,5.0,,6.9,6.292,10.0,5.3,6.7,8.8,Feminino,15.0,2017,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-98,2022,5,5,0,Topázio,9.354,8.8,10.0,9.4,,8.5,9.667,10.0,8.4,8.2,8.9,Feminino,15.0,2017,Rede Decisão,Não,Sim,4.0,Em fase/Avancado,0
RA-99,2022,5,6,-1,Ágata,6.158,8.8,6.3,7.5,,5.0,5.833,5.0,5.7,3.4,5.8,Masculino,16.0,2019,Escola Pública,Não,Não,4.0,Moderada,1
RA-100,2022,4,3,1,Ametista,7.618,8.8,7.8,5.0,,7.6,7.25,10.0,7.0,7.8,8.1,Feminino,13.0,2019,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-101,2022,4,5,-1,Ametista,7.305,7.9,8.3,7.5,,7.6,6.833,5.0,7.2,6.5,9.2,Feminino,15.0,2021,Escola Pública,Sim,Não,4.0,Moderada,1
RA-102,2022,4,4,0,Ágata,6.922,6.7,7.7,6.9,,5.7,6.0,10.0,4.7,6.8,5.5,Masculino,14.0,2019,Escola Pública,Não,Não,4.0,Em fase/Avancado,0
RA-103,2022,4,3,1,Topázio,8.107,7.9,8.7,7.5,,7.3,7.708,10.0,7.3,7.3,7.3,Feminino,13.0,2020,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-104,2022,4,8,-4,Ágata,6.315,7.9,8.7,7.5,,3.7,6.708,2.5,4.8,5.8,0.3,Masculino,18.0,2022,Escola Pública,Não,Não,4.0,Severa,1
RA-105,2022,4,7,-3,Ágata,6.846,7.9,8.2,5.6,,6.7,7.417,2.5,7.2,6.2,6.8,Masculino,17.0,2016,Rede Decisão,Não,Não,4.0,Severa,1
RA-106,2022,4,5,-1,Ametista,7.973,9.2,8.0,9.4,,7.4,8.375,5.0,7.8,7.2,7.2,Feminino,15.0,2016,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-107,2022,4,5,-1,Ágata,6.258,7.5,6.4,7.5,,4.6,6.5,5.0,3.3,4.3,6.0,Feminino,15.0,2018,Escola Pública,Sim,Não,4.0,Moderada,1
RA-108,2022,4,7,-3,Quartzo,5.547,4.6,7.7,5.0,,5.0,6.125,2.5,3.0,5.8,6.2,Feminino,17.0,2019,Escola Pública,Não,Não,4.0,Severa,1
